METRIC_NAME
QUARTERS
NETREVENUE_REPORTED_BASIS
NONINTERESTREVENUE_REPORTED_BASIS
PREPROVISIONPROFIT_REPORTED_BASIS
CREDITLOSSES_REPORTED_BASIS
NETINCOME_REPORTED_BASIS
NETREVENUE_MANAGED_BASIS
NONINTERESTREVENUE_MANAGED_BASIS
PREPROVISIONPROFIT_MANAGED_BASIS
CREDITLOSSES_MANAGED_BASIS
NETINCOME_MANAGED_BASIS
BASIC_NETINCOME_EARNINGSPERSHARE
DILUTED_NETINCOME_EARNINGSPERSHARE
BASIC_AVERAGESHARES_EARNINGSPERSHARE
DILUTED_AVERAGESHARES_EARNINGSPERSHARE
MARKETCAPITALIZATION
COMMONSHARES_ENDPERIOD
BOOKVALUEPERSHARE
TANGIBLE_BOOKVALUEPERSHARE
CASHDIVIDENDSPERSHARE
RETURNON_COMMONEQUITY_ROE
RETURNON_TANGIBLECOMMONEQUITY_ROTCE
RETURNON_ASSETS
COMMON_EQUITY_TIER_1__CET1__CAPITAL_RATIO_NONE
TIER_1_CAPITAL_RATIO_NONE
TOTAL_CAPITAL_RATIO_NONE
TIER_1_LEVERAGE_RATIO_NONE
SUPPLEMENTARY_LEVERAGE_RATIO__SLR__NONE
